No,Months since Last Donation,Number of Donations,Total Volume Donated (c.c.),Months since First Donation,Made Donation in March 2007
79,2,1,250,2,yes
477,2,1,250,2,no
90,2,1,250,2,no
341,2,1,250,2,no
456,2,1,250,2,no
692,2,1,250,2,no
275,2,1,250,2,no
227,2,1,250,2,no
550,2,1,250,2,yes
247,2,1,250,2,yes
293,2,1,250,2,yes
587,2,1,250,2,no
291,2,1,250,2,no
392,2,1,250,2,no
220,2,1,250,2,no
410,2,1,250,2,no
88,2,1,250,2,no
589,2,1,250,2,no
61,2,1,250,2,no
359,11,10,2500,35,no
671,11,4,1000,16,yes
399,4,6,1500,41,yes
631,2,3,750,22,no
432,4,4,1000,26,yes
565,10,4,1000,16,no
618,2,4,1000,35,no
586,4,12,3000,88,no
59,13,8,2000,26,no
725,4,5,1250,34,no
367,4,5,1250,35,yes
605,4,7,1750,52,no
296,4,7,1750,52,no
238,2,2,500,14,no
655,2,5,1250,47,yes
314,9,8,2000,38,yes
609,4,6,1500,47,no
113,9,9,2250,45,no
596,4,6,1500,52,no
242,4,7,1750,58,no
6,6,2,500,11,yes
533,11,9,2250,38,no
19,2,2,500,16,no
434,2,7,1750,76,no
553,11,6,1500,27,no
517,11,3,750,14,no
239,4,1,250,4,no
689,4,1,250,4,no
562,4,1,250,4,no
111,4,1,250,4,yes
580,4,1,250,4,no
379,4,1,250,4,no
684,4,1,250,4,no
252,4,1,250,4,no
415,4,1,250,4,yes
282,4,1,250,4,no
746,4,3,750,24,no
217,4,1,250,4,no
150,4,1,250,4,no
540,4,1,250,4,no
709,10,8,2000,39,no
31,14,7,1750,26,no
615,8,10,2500,63,no
494,4,2,500,14,no
195,2,4,1000,43,no
717,8,9,2250,58,no
62,8,8,2000,52,yes
649,11,22,5500,98,no
264,4,3,750,25,yes
414,11,17,4250,79,yes
706,9,2,500,11,no
693,4,5,1250,46,no
219,7,12,3000,86,no
555,11,2,500,11,no
452,11,2,500,11,no
519,2,6,1500,75,no
400,11,8,2000,41,yes
70,11,3,750,16,yes
669,12,13,3250,59,no
115,2,3,750,35,no
256,16,8,2000,28,no
269,11,7,1750,37,no
620,4,3,750,28,no
205,12,12,3000,58,no
578,4,4,1000,41,no
257,11,14,3500,73,yes
498,4,5,1250,58,no
38,4,4,1000,43,yes
268,3,2,500,23,no
707,11,8,2000,46,no
71,4,7,1750,82,no
702,13,4,1000,21,no
480,16,7,1750,28,no
11,7,2,500,16,no
215,4,5,1250,58,no
670,4,5,1250,58,no
120,4,4,1000,46,no
465,14,13,3250,57,no
385,4,3,750,34,no
457,14,18,4500,78,no
36,11,8,2000,48,no
76,14,16,4000,70,no
647,14,4,1000,22,yes
44,14,5,1250,26,no
678,8,2,500,16,no
43,11,2,500,14,no
598,4,2,500,23,no
616,14,3,750,19,yes
634,16,12,3000,50,no
727,11,4,1000,28,no
102,11,5,1250,35,no
304,2,4,1000,70,no
133,14,5,1250,28,no
567,14,2,500,14,no
362,14,2,500,14,no
114,14,2,500,14,no
575,14,6,1500,34,no
394,11,5,1250,37,yes
549,4,5,1250,74,no
384,11,3,750,23,no
17,11,5,1250,38,no
121,12,9,2250,60,no
72,9,1,250,9,no
581,9,1,250,9,no
261,4,2,500,29,no
216,11,2,500,17,no
153,14,4,1000,26,no
626,11,9,2250,72,yes
658,11,5,1250,41,no
458,9,5,1250,51,yes
324,14,8,2000,50,yes
253,16,7,1750,38,no
186,14,2,500,16,no
171,14,16,4000,98,no
260,14,4,1000,28,yes
21,16,7,1750,39,no
32,14,7,1750,47,no
20,16,6,1500,35,yes
413,11,3,750,28,no
128,11,1,250,11,yes
142,9,3,750,34,no
185,14,4,1000,30,no
451,23,38,9500,98,no
469,11,1,250,11,no
77,11,1,250,11,no
159,11,1,250,11,no
152,11,1,250,11,no
551,11,1,250,11,no
584,11,2,500,21,no
488,11,5,1250,50,no
26,11,2,500,21,no
349,16,4,1000,28,no
723,14,3,750,26,no
735,9,2,500,26,no
572,14,6,1500,51,no
711,11,2,500,24,no
668,4,3,750,71,no
194,21,13,3250,57,no
201,11,6,1500,71,no
390,14,2,500,21,yes
325,23,15,3750,57,no
326,14,4,1000,38,no
137,11,2,500,26,no
608,16,5,1250,40,yes
318,4,2,500,51,yes
714,14,4,1000,40,no
73,11,3,750,40,yes
679,14,5,1250,50,no
25,14,1,250,14,no
18,14,1,250,14,no
225,14,1,250,14,no
122,14,1,250,14,no
708,14,1,250,14,no
428,14,7,1750,72,no
166,14,1,250,14,no
234,9,3,750,52,no
704,14,7,1750,73,no
716,11,4,1000,58,no
599,11,4,1000,59,no
206,4,2,500,59,no
713,11,4,1000,61,no
167,16,4,1000,40,no
315,16,10,2500,89,no
601,21,2,500,21,yes
277,21,3,750,26,no
724,16,8,2000,76,no
648,21,3,750,26,yes
37,18,2,500,23,no
193,23,5,1250,33,no
743,16,3,750,34,no
126,14,5,1250,64,no
354,14,3,750,41,no
438,16,1,250,16,no
184,16,1,250,16,no
236,16,1,250,16,no
15,16,1,250,16,no
163,16,1,250,16,no
347,16,1,250,16,no
412,16,4,1000,45,no
87,16,1,250,16,no
614,16,1,250,16,no
364,16,1,250,16,no
468,21,2,500,23,no
558,21,2,500,23,no
177,14,4,1000,57,no
593,16,5,1250,60,no
378,23,2,500,23,no
516,14,5,1250,74,no
265,23,3,750,28,no
543,16,3,750,40,no
52,9,2,500,52,no
266,9,2,500,52,no
505,16,7,1750,87,yes
343,14,2,500,35,no
628,16,7,1750,93,no
327,21,2,500,25,no
481,14,3,750,52,no
522,18,8,2000,95,no
435,16,3,750,46,no
381,11,3,750,76,no
420,23,12,3000,86,no
42,21,3,750,35,no
78,23,2,500,26,no
538,23,2,500,26,no
180,23,3,750,33,no
210,23,2,500,28,no
27,21,1,250,21,no
251,21,1,250,21,no
208,21,1,250,21,no
660,21,1,250,21,no
518,21,1,250,21,no
602,21,1,250,21,no
339,21,1,250,21,no
431,21,1,250,21,no
525,21,1,250,21,yes
116,21,1,250,21,no
302,21,1,250,21,no
69,21,5,1250,60,no
595,23,4,1000,45,no
333,21,4,1000,52,no
370,22,1,250,22,yes
742,11,2,500,70,no
645,23,5,1250,58,no
604,23,3,750,40,no
739,23,3,750,41,no
112,14,3,750,83,no
292,21,2,500,35,no
281,26,5,1250,49,yes
514,23,6,1500,70,no
117,23,1,250,23,no
388,23,1,250,23,no
554,23,1,250,23,no
110,23,1,250,23,no
588,23,1,250,23,no
576,23,1,250,23,no
141,23,1,250,23,no
475,23,4,1000,53,no
547,21,6,1500,86,no
305,21,3,750,64,no
560,16,2,500,70,no
287,21,3,750,70,no
295,23,4,1000,87,no
597,23,3,750,89,no
673,35,3,750,64,no
350,74,1,250,74,no
39,2,43,10750,86,yes
677,6,22,5500,28,yes
149,2,44,11000,98,no
732,2,11,2750,23,no
348,2,21,5250,52,yes
190,4,4,1000,4,yes
374,2,11,2750,26,no
104,2,11,2750,28,no
407,3,14,3500,35,no
408,4,6,1500,14,no
226,3,5,1250,12,yes
157,4,33,8250,98,yes
495,3,10,2500,33,yes
280,4,10,2500,28,yes
107,2,11,2750,40,yes
641,2,11,2750,41,yes
250,4,13,3250,39,yes
258,1,10,2500,43,yes
699,4,9,2250,28,no
322,2,5,1250,16,yes
376,2,6,1500,22,yes
366,4,5,1250,16,yes
0,2,4,1000,14,yes
124,2,4,1000,14,no
259,2,6,1500,26,no
470,4,5,1250,16,yes
140,2,7,1750,32,yes
489,2,6,1500,26,yes
170,2,8,2000,38,yes
542,2,2,500,4,yes
355,2,6,1500,28,yes
24,4,2,500,4,yes
106,1,14,3500,95,no
255,2,3,750,11,no
737,2,12,3000,70,yes
329,4,7,1750,32,yes
398,4,4,1000,16,no
521,2,6,1500,35,yes
531,2,3,750,14,no
99,2,4,1000,23,no
319,4,4,1000,18,no
661,5,6,1500,28,no
86,4,6,1500,30,no
313,14,5,1250,14,no
288,3,8,2000,50,no
229,4,9,2250,52,no
200,4,16,4000,98,yes
53,2,9,2250,75,no
729,4,6,1500,35,no
331,4,9,2250,55,no
147,4,6,1500,35,yes
203,2,6,1500,45,no
41,2,6,1500,47,no
89,4,2,500,9,no
165,2,2,500,11,yes
383,4,6,1500,38,yes
351,9,9,2250,38,no
108,11,5,1250,18,no
397,2,3,750,21,no
640,2,1,250,2,no
720,2,1,250,2,yes
409,2,1,250,2,no
68,2,1,250,2,no
211,2,1,250,2,no
635,2,1,250,2,no
484,2,1,250,2,no
237,2,1,250,2,no
57,2,1,250,2,no
50,2,3,750,22,no
600,9,11,2750,49,yes
310,3,5,1250,38,no
583,3,1,250,3,yes
681,4,6,1500,43,no
503,2,3,750,24,no
270,12,11,2750,39,no
375,2,2,500,14,no
230,9,3,750,14,no
497,14,8,2000,26,no
188,4,2,500,13,no
7,4,11,2750,95,no
80,4,1,250,4,no
637,4,1,250,4,no
417,4,1,250,4,no
97,4,1,250,4,no
158,4,1,250,4,no
695,4,1,250,4,no
425,4,1,250,4,no
75,4,1,250,4,no
136,4,7,1750,62,no
603,4,4,1000,34,yes
123,11,6,1500,28,no
422,13,3,750,14,yes
273,9,9,2250,54,no
404,11,2,500,11,no
218,2,5,1250,63,no
561,7,11,2750,89,no
55,8,9,2250,64,no
486,2,2,500,22,no
443,11,16,4000,89,no
730,4,5,1250,58,no
437,14,7,1750,35,no
526,11,4,1000,27,no
371,7,9,2250,89,yes
710,7,5,1250,52,no
243,11,6,1500,41,no
91,10,5,1250,38,no
672,14,2,500,14,yes
666,14,2,500,14,no
10,14,2,500,14,no
342,2,2,500,33,no
682,11,3,750,23,no
629,14,8,2000,46,no
223,9,1,250,9,no
557,16,5,1250,27,no
46,14,4,1000,26,no
393,4,2,500,30,no
504,14,3,750,21,no
209,16,16,4000,77,no
442,4,2,500,31,no
312,14,8,2000,50,no
148,11,3,750,26,no
636,14,7,1750,45,no
559,15,5,1250,33,no
13,16,2,500,16,no
320,16,3,750,21,no
411,11,8,2000,72,no
625,11,1,250,11,no
592,11,1,250,11,no
552,11,1,250,11,yes
675,2,3,750,75,yes
700,2,3,750,77,no
363,16,4,1000,28,no
100,16,15,3750,87,no
642,16,14,3500,83,no
524,16,10,2500,62,no
639,16,3,750,23,no
125,14,3,750,26,no
22,23,19,4750,62,no
430,11,7,1750,75,no
418,20,14,3500,69,yes
130,4,2,500,46,no
267,11,2,500,25,no
492,11,3,750,37,no
179,13,7,1750,76,no
566,16,6,1500,50,no
611,14,3,750,33,no
368,14,1,250,14,no
697,14,1,250,14,no
439,14,1,250,14,no
627,14,1,250,14,no
462,17,7,1750,58,yes
95,14,3,750,35,no
621,16,7,1750,64,no
396,21,2,500,21,no
109,16,3,750,35,no
197,16,1,250,16,no
416,16,1,250,16,no
202,16,1,250,16,no
198,16,1,250,16,no
178,16,1,250,16,no
577,11,4,1000,74,no
118,21,6,1500,48,no
532,23,2,500,23,no
338,23,6,1500,45,no
365,14,2,500,35,yes
173,16,4,1000,58,no
715,16,5,1250,71,no
2,21,2,500,26,no
387,21,3,750,35,no
738,23,8,2000,69,no
610,21,3,750,38,no
450,21,3,750,40,no
232,21,1,250,21,no
440,21,1,250,21,no
183,25,6,1500,50,no
60,21,1,250,21,no
58,21,1,250,21,no
49,23,3,750,39,no
674,21,2,500,33,no
204,14,3,750,79,no
361,23,1,250,23,yes
30,23,1,250,23,no
337,23,1,250,23,no
496,23,1,250,23,no
169,23,1,250,23,no
698,23,1,250,23,no
433,16,3,750,86,no
360,21,2,500,52,no
541,39,1,250,39,no
74,72,1,250,72,no
