Community_ID,SolarEnergy_aspect1,SolarEnergy_aspect2,SolarEnergy_aspect3,SolarEnergy_aspect4,SolarEnergy_aspect5,Behavioural_aspect1,Behavioural_aspect2,Behavioural_aspect3,Behavioural_aspect4,Behavioural_aspect5
CC127346,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC116520,NoSolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC127528,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC153086,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACnotEquipped,Awareness,ACsOnNeed,Slabs,NoAuto-Off,StreetLightsEquipped
CC211374,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC166457,SolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,Awareness,ACsAllTime,NoSlabs,Auto-Off,StreetLightsNotEquipped
CC174212,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsEquipped
CC146128,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsNotEquipped
CC141598,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC131203,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACEquipped,Awareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsEquipped
CC208674,NoSolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC186438,NoSolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsOnNeed,Slabs,NoAuto-Off,StreetLightsNotEquipped
CC167898,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC213812,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC173158,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACnotEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC113003,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC155149,NoSolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACnotEquipped,Awareness,ACsOnNeed,Slabs,NoAuto-Off,StreetLightsNotEquipped
CC167668,NoSolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC173965,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACnotEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC151215,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsOnNeed,NoSlabs,Auto-Off,StreetLightsNotEquipped
CC148911,SolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,Awareness,ACsAllTime,NoSlabs,Auto-Off,StreetLightsEquipped
CC174763,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC144531,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsOnNeed,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC119450,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACEquipped,Awareness,ACsAllTime,Slabs,Auto-Off,StreetLightsNotEquipped
CC123210,SolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsNotEquipped
CC209387,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC162218,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC188307,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACnotEquipped,Awareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsEquipped
CC154978,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC187203,NoSolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsNotEquipped
CC134116,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACnotEquipped,Awareness,ACsOnNeed,Slabs,NoAuto-Off,StreetLightsNotEquipped
CC128606,NoSolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,Awareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC181431,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesEquipped,DCtoACnotEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC123012,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsEquipped
CC116851,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC131917,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsEquipped
CC193986,SolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACnotEquipped,NoAwareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsNotEquipped
CC156399,NoSolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC142546,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsNotEquipped
CC195356,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC159275,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACnotEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC193657,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC136491,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACnotEquipped,Awareness,ACsAllTime,Slabs,Auto-Off,StreetLightsNotEquipped
CC213745,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC112930,SolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,Awareness,ACsAllTime,Slabs,Auto-Off,StreetLightsEquipped
CC211789,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,Awareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsNotEquipped
CC189818,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsNotEquipped
CC186316,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsNotEquipped
CC191036,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACEquipped,Awareness,ACsAllTime,Slabs,Auto-Off,StreetLightsNotEquipped
CC124853,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC213133,NoSolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACnotEquipped,Awareness,ACsOnNeed,Slabs,NoAuto-Off,StreetLightsEquipped
CC145684,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC138628,NoSolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsNotEquipped
CC184782,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC115298,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsOnNeed,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC149648,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACnotEquipped,NoAwareness,ACsOnNeed,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC167933,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesEquipped,DCtoACnotEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC131871,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC141015,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC175915,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC158523,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsOnNeed,NoSlabs,Auto-Off,StreetLightsNotEquipped
CC202029,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsOnNeed,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC134072,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsAllTime,Slabs,Auto-Off,StreetLightsNotEquipped
CC138930,NoSolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC205843,NoSolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsNotEquipped
CC162669,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC204599,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC132540,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsAllTime,Slabs,Auto-Off,StreetLightsEquipped
CC205631,SolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACnotEquipped,NoAwareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsEquipped
CC195950,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC121844,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsEquipped
CC181854,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,Slabs,NoAuto-Off,StreetLightsEquipped
CC147630,SolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsOnNeed,NoSlabs,Auto-Off,StreetLightsEquipped
CC208295,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACnotEquipped,Awareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsNotEquipped
CC136812,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC162026,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsEquipped
CC169756,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsNotEquipped
CC144457,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC125984,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsNotEquipped
CC162923,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC198517,NoSolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC212268,NoSolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsNotEquipped
CC153098,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,NoSlabs,Auto-Off,StreetLightsNotEquipped
CC198554,NoSolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC133607,SolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACnotEquipped,Awareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC210825,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsEquipped
CC117976,SolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,Awareness,ACsOnNeed,NoSlabs,Auto-Off,StreetLightsEquipped
CC143287,SolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC142030,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACnotEquipped,Awareness,ACsAllTime,Slabs,NoAuto-Off,StreetLightsNotEquipped
CC130754,SolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesEquipped,DCtoACnotEquipped,Awareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsNotEquipped
CC128281,NoSolarPowerEquipped,AddnlSolarPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACnotEquipped,NoAwareness,ACsAllTime,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC141462,NoSolarPowerEquipped,AddnlSolarPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsOnNeed,NoSlabs,Auto-Off,StreetLightsEquipped
CC209540,NoSolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesNotEquipped,DCtoACEquipped,Awareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsEquipped
CC133549,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACnotEquipped,Awareness,ACsOnNeed,NoSlabs,NoAuto-Off,StreetLightsEquipped
CC128485,NoSolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,NoSlabs,NoAuto-Off,StreetLightsNotEquipped
CC132045,SolarPowerEquipped,NoAddnlPower,MinPowerEnabled,BatteriesEquipped,DCtoACEquipped,NoAwareness,ACsOnNeed,Slabs,Auto-Off,StreetLightsNotEquipped
CC211113,SolarPowerEquipped,NoAddnlPower,MinPowerNotEnabled,BatteriesNotEquipped,DCtoACnotEquipped,NoAwareness,ACsOnNeed,Slabs,NoAuto-Off,StreetLightsNotEquipped
